Plot,Treatment,Date,Height,LAI
1,Tall,2018-08-16,93.17,2.58
2,Short,2018-08-16,17.33,0.61
3,Short,2018-08-16,20.67,0.31
4,Tall,2018-08-16,49.33,2.00
5,Tall,2018-08-16,49.67,2.26
6,Short,2018-08-16,20.67,0.55
7,Short,2018-08-16,23.33,0.83
8,Tall,2018-08-16,47.50,1.92
